Name_number,Name_submitted,Overall_score,Name_matched,Name_matched_rank,Name_score,Name_matched_author,Name_matched_url,Author_matched,Author_score,Family_matched,Family_score,Name_matched_accepted_family,Genus_matched,Genus_score,Specific_epithet_matched,Specific_epithet_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Taxonomic_status,Accepted_name,Accepted_name_author,Accepted_name_rank,Accepted_name_url,Accepted_name_species,Accepted_name_family,Selected,Source,Warnings,Accepted_name_lsid
7,ladenbergia sp.,0.9,Ladenbergia,genus,1,Klotzsch,http://www.tropicos.org/Name/40000981,,,,,Rubiaceae,Ladenbergia,1,,,,,,,,,,sp.,Accepted,Ladenbergia,Klotzsch,genus,http://www.tropicos.org/Name/40000981,,Rubiaceae,FALSE,tropicos, ,
8,protium ravenii,1,Protium ravenii,species,1,D.M. Porter,http://www.theplantlist.org/tpl1.1/record/tro-4700147;http://www.tropicos.org/Name/4700147,,,,,Burseraceae,Protium,1,ravenii,1,,,,,,,,,Accepted,Protium ravenii,D.M. Porter,species,http://www.theplantlist.org/tpl1.1/record/tro-4700147;http://www.tropicos.org/Name/4700147,Protium ravenii,Burseraceae,TRUE,tpl;tropicos, ,
9,arrabidaea corallina,1,Arrabidaea corallina,species,1,(Jacq.) Sandwith,http://www.theplantlist.org/tpl1.1/record/kew-319636,,,,,Bignoniaceae,Arrabidaea,1,corallina,1,,,,,,,,,Synonym,Fridericia dichotoma,(Jacq.) L.G.Lohmann,species,http://www.theplantlist.org/tpl1.1/record/kew-317861,Fridericia dichotoma,Bignoniaceae,TRUE,tpl, ,
9,arrabidaea corallina,1,Arrabidaea corallina,species,1,(Jacq.) Sandwith,http://www.tropicos.org/Name/3700003,,,,,Bignoniaceae,Arrabidaea,1,corallina,1,,,,,,,,,Synonym,Fridericia dichotoma,(Jacq.) L.G. Lohmann,species,http://www.tropicos.org/Name/100193225,Fridericia dichotoma,Bignoniaceae,FALSE,tropicos, ,
10,doliocarpus sp.,0.9,Doliocarpus,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Doliocarpus,,,,,Dilleniaceae,Doliocarpus,1,,,,,,,,,,sp.,Accepted,Doliocarpus,,genus,http://www.theplantlist.org/tpl1.1/search?q=Doliocarpus,,Dilleniaceae,TRUE,tpl, ,
10,doliocarpus sp.,0.9,Doliocarpus,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Doliocarpus,,,,,Dilleniaceae,Doliocarpus,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,tpl, ,
10,doliocarpus sp.,0.9,Doliocarpus,genus,1,Rol.,http://www.tropicos.org/Name/40034771,,,,,Dilleniaceae,Doliocarpus,1,,,,,,,,,,sp.,Accepted,Doliocarpus,Rol.,genus,http://www.tropicos.org/Name/40034771,,Dilleniaceae,FALSE,tropicos, ,
10,doliocarpus sp.,0.9,Doliocarpus,genus,1,,http://plants.usda.gov/java/profile?symbol=DOLIO,,,,,Dilleniaceae,Doliocarpus,1,,,,,,,,,,sp.,Accepted,Doliocarpus,,genus,http://plants.usda.gov/java/profile?symbol=DOLIO,,Dilleniaceae,FALSE,usda, ,
11,miconia sp.,0.9,Miconia,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Miconia;http://plants.usda.gov/java/profile?symbol=MICON,,,,,Melastomataceae,Miconia,1,,,,,,,,,,sp.,Accepted,Miconia,,genus,http://www.theplantlist.org/tpl1.1/search?q=Miconia;http://plants.usda.gov/java/profile?symbol=MICON,,Melastomataceae,TRUE,tpl;usda, ,
11,miconia sp.,0.9,Miconia,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Miconia,,,,,Melastomataceae,Miconia,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,tpl, ,
