Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Myrsine sandwicensis,Myrsine sandwicensis,,1,Accepted,Myrsine sandwicensis,A. DC.,Primulaceae,tropicos;usda, ,
Pipturus albidus,Pipturus albidus,,1,Accepted,Pipturus albidus,,Urticaceae,tropicos, ,
Psychotria sp,Psychotria,,0.9,Accepted,Psychotria,L.,Rubiaceae,tropicos, ,
Brussaisia arguta,No suitable matches found.,,0,,,,,, ,
Cibotium glaucum,Cibotium glaucum,,1,Accepted,Cibotium glaucum,(Sm.) Hook. & Arn.,Cibotiaceae,tropicos;usda, ,
Clermontia montes-loa,Clermontia montis-loa,,0.96,No opinion,,,,tropicos, ,
Freycinetia arborea,Freycinetia arborea,,1,Accepted,Freycinetia arborea,Gaudich.,Pandanaceae,tropicos;usda, ,
Ilex anomala,Ilex anomala,,1,Synonym,Byronia anomala,(Hook. & Arn.) A.Heller,Aquifoliaceae,tropicos, ,
Peperomia sp,Peperomia,,0.9,Accepted,Peperomia,Ruiz & Pav.,Piperaceae,tropicos, ,
Comprosma ernodeoides,Coprosma ernodeoides,,0.98,Accepted,Coprosma ernodeoides,A. Gray,Rubiaceae,tropicos;usda, ,
Hedyotis centranthoides,Hedyotis centranthoides,,1,Accepted,Hedyotis centranthoides,Steud.,Rubiaceae,tropicos, ,
Machaerina mariscoides,Machaerina mariscoides,,1,Accepted,Machaerina mariscoides,J. Kern,Cyperaceae,tropicos, ,
Betula papyrifera,Betula papyrifera,,1,Accepted,Betula papyrifera,Marshall,Betulaceae,tropicos, ,
Prunus serotina,Prunus serotina,,1,Accepted,Prunus serotina,Ehrh.,Rosaceae,tropicos;usda, ,
Fraxinus americana,Fraxinus americana,,1,Accepted,Fraxinus americana,L.,Oleaceae,tropicos;usda, ,
Quercus rubra,Quercus rubra,,1,Accepted,Quercus rubra,L.,Fagaceae,tropicos;usda, ,
Quercus alba,Quercus alba,,1,Accepted,Quercus alba,L.,Fagaceae,tropicos;usda, ,
Castanea dentata,Castanea dentata,,1,Accepted,Castanea dentata,(Marshall) Borkh.,Fagaceae,tropicos, ,
Ulmus americana,Ulmus americana,,1,Accepted,Ulmus americana,L.,Ulmaceae,tropicos;usda, ,
Acer rubrum,Acer rubrum,,1,Accepted,Acer rubrum,L.,Sapindaceae,tropicos;usda, ,
Acer saccharum,Acer saccharum,,1,Accepted,Acer saccharum,Marshall,Sapindaceae,tropicos, ,
Acer pensylvanicum,Acer pensylvanicum,,1,Accepted,Acer pensylvanicum,L.,Sapindaceae,tropicos;usda, ,
Acalypha skutchii,Acalypha skutchii,,1,Accepted,Acalypha skutchii,I.M. Johnst.,Euphorbiaceae,tropicos, ,
Aegiphila costaricensis,No suitable matches found.,,0,,,,,, ,
Allophylus camptostachys,Allophylus camptostachys,,1,Accepted,Allophylus camptostachys,Radlk.,Sapindaceae,tropicos, ,
Amphitecna tuxtlensis,Amphitecna tuxtlensis,,1,Accepted,Amphitecna tuxtlensis,A.H. Gentry,Bignoniaceae,tropicos, ,
Astrocaryum mexicanum,Astrocaryum mexicanum,,1,Accepted,Astrocaryum mexicanum,Liebm. ex Mart.,Arecaceae,tropicos, ,
Bactris trichophylla,Bactris trichophylla,,1,Synonym,Bactris mexicana,Mart.,Arecaceae,tropicos, ,
Brosimum alicastrum,Brosimum alicastrum,,1,Accepted,Brosimum alicastrum,Sw.,Moraceae,tropicos;usda, ,
Bursera simaruba,Bursera simaruba,,1,Accepted,Bursera simaruba,(L.) Sarg.,Burseraceae,tropicos;usda, ,
Capparis baducca,Capparis baducca,,1,Synonym,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Capparaceae,tropicos, ,
Casearia sylvestris,Casearia sylvestris,,1,Accepted,Casearia sylvestris,Sw.,Salicaceae,tropicos;usda, ,
Cecropia obtusifolia,Cecropia obtusifolia,,1,Accepted,Cecropia obtusifolia,Bertol.,Urticaceae,tropicos;usda, ,
Chamaedorea alternans,Chamaedorea alternans,,1,Accepted,Chamaedorea alternans,H. Wendl.,Arecaceae,tropicos, ,
Chamaedorea pinnatifrons,Chamaedorea pinnatifrons,,1,Accepted,Chamaedorea pinnatifrons,(Jacq.) Oerst.,Arecaceae,tropicos, ,
Clarisia biflora,Clarisia biflora,,1,Accepted,Clarisia biflora,Ruiz & Pav.,Moraceae,tropicos, ,
Coccoloba hondurensis,Coccoloba hondurensis,,1,Accepted,Coccoloba hondurensis,Lundell,Polygonaceae,tropicos, ,
Cordia megalantha,Cordia megalantha,,1,Accepted,Cordia megalantha,S.F. Blake,Boraginaceae,tropicos, ,
Croton schiedeanus,Croton schiedeanus,,1,Accepted,Croton schiedeanus,Schltdl.,Euphorbiaceae,tropicos, ,
Cupania dentata,Cupania dentata,,1,Accepted,Cupania dentata,DC.,Sapindaceae,tropicos, ,
Cymbopetalum baillonii,Cymbopetalum baillonii,,1,Accepted,Cymbopetalum baillonii,R.E. Fr.,Annonaceae,tropicos, ,
Cynometra retusa,Cynometra retusa,,1,Accepted,Cynometra retusa,Britton & Rose,Fabaceae,tropicos, ,
Dendropanax arboreus,Dendropanax arboreus,,1,Accepted,Dendropanax arboreus,(L.) Decne. & Planch.,Araliaceae,tropicos, ,
Dialium guianense,Dialium guianense,,1,Accepted,Dialium guianense,(Aubl.) Sandwith,Fabaceae,tropicos, ,
Dussia mexicana,Dussia mexicana,,1,Accepted,Dussia mexicana,(Standl.) Harms,Fabaceae,tropicos, ,
Erythrina folkersii,Erythrina folkersii,,1,Accepted,Erythrina folkersii,Krukoff & Moldenke,Fabaceae,tropicos, ,
Faramea occidentalis,Faramea occidentalis,,1,Accepted,Faramea occidentalis,(L.) A. Rich.,Rubiaceae,tropicos;usda, ,
Ficus tecolutensis,Ficus tecolutensis,,1,Synonym,Ficus aurea,Nutt.,Moraceae,tropicos, ,
Ficus yoponensis,Ficus yoponensis,,1,Accepted,Ficus yoponensis,Desv.,Moraceae,tropicos, ,
Guamia LT,Guamia,,0.5,Accepted,Guamia,Merr.,Annonaceae,tropicos, [Partial match] ,
Guarea glabra,Guarea glabra,,1,Accepted,Guarea glabra,Vahl,Meliaceae,tropicos;usda, ,
Guarea grandifolia,Guarea grandifolia,,1,Illegitimate,,,,tropicos, ,
Hampea nutricia,Hampea nutricia,,1,Accepted,Hampea nutricia,Fryxell,Malvaceae,tropicos, ,
Heliocarpus appendiculatus,Heliocarpus appendiculatus,,1,Accepted,Heliocarpus appendiculatus,Turcz.,Malvaceae,tropicos, ,
Inga quaternata,Inga quaternata,,1,Accepted,Inga quaternata,Poepp.,Fabaceae,tropicos, ,
Lonchocarpus guatemalensis,Lonchocarpus guatemalensis,,1,Accepted,Lonchocarpus guatemalensis,Benth.,Fabaceae,tropicos, ,
Lunania mexicana,Lunania mexicana,,1,Accepted,Lunania mexicana,Brandegee,Salicaceae,tropicos, ,
Mortoniodendron guatemalense,Mortoniodendron guatemalense,,1,Accepted,Mortoniodendron guatemalense,Standl. & Steyerm.,Malvaceae,tropicos, ,
Myriocarpa longipes,Myriocarpa longipes,,1,Accepted,Myriocarpa longipes,Liebm.,Urticaceae,tropicos, ,
Nectandra ambigens,Nectandra ambigens,,1,Accepted,Nectandra ambigens,(S.F. Blake) C.K. Allen,Lauraceae,tropicos, ,
Omphalea oleifera,Omphalea oleifera,,1,Accepted,Omphalea oleifera,Hemsl.,Euphorbiaceae,tropicos, ,
Oreopanax obtusifolius,Oreopanax obtusifolius,,1,Synonym,Oreopanax guatemalensis,(Lem. ex Bosse) Decne. & Planch.,Araliaceae,tropicos, ,
Orthion oblanceolatum,Orthion oblanceolatum,,1,Accepted,Orthion oblanceolatum,Lundell,Violaceae,tropicos, ,
Piper amalago,Piper amalago,,1,Accepted,Piper amalago,L.,Piperaceae,tropicos;usda, ,
Piper auritum,Piper auritum,,1,Accepted,Piper auritum,Kunth,Piperaceae,tropicos;usda, ,
Piper hispidum,Piper hispidum,,1,Accepted,Piper hispidum,Sw.,Piperaceae,tropicos;usda, ,
