Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Dittrichia viscosa,Dittrichia viscosa,,1,Accepted,Dittrichia viscosa,(L.) Greuter,Asteraceae,tropicos;gcc;usda, ,
Fraxinus angustifolia,Fraxinus angustifolia,,1,Accepted,Fraxinus angustifolia,Vahl,Oleaceae,tropicos, ,
Helleborus lividus,Helleborus lividus,,1,Synonym,Helleborus trifolius var. lividus,(Aiton ex Curtis) Knoche,Ranunculaceae,tropicos, ,
Helleborus foetidus,Helleborus foetidus,,1,No opinion,,,,tropicos, ,
Lavandula dentata,Lavandula dentata,,1,Accepted,Lavandula dentata,L.,Lamiaceae,tropicos, ,
Lavatera cretica,Lavatera cretica,,1,Synonym,Malva pseudolavatera,Webb & Berthel.,Malvaceae,tropicos, ,
Paeonia cambessedesii,Paeonia cambessedesii,,1,Synonym,Paeonia mascula subsp. cambessedesii,(Willk.) O. Bolòs & Vigo,Paeoniaceae,tropicos, ,
Populus alba,Populus alba,,1,Accepted,Populus alba,L.,Salicaceae,tropicos;usda, ,
Quercus humilis,Quercus humilis,,1,Synonym,Quercus toza var. humilis,(A. DC.) Nyman,Fagaceae,tropicos, ,
Verbascum sinuatum,Verbascum sinuatum,,1,No opinion,,,,tropicos, ,
Vitex agnus-castus,Vitex agnus-castus,,1,Accepted,Vitex agnus-castus,L.,Lamiaceae,tropicos;usda, ,
Castanopsis sieboldii,Castanopsis sieboldii,,1,Accepted,Castanopsis sieboldii,(Makino) Hatus. ex T. Yamaz. & Mashiba,Fagaceae,tropicos, ,
Quercus acuta,Quercus acuta,,1,Synonym,Cyclobalanopsis acuta,(Thunb.) Oerst.,Fagaceae,tropicos, ,
Camellia japonica,Camellia japonica,,1,Accepted,Camellia japonica,L.,Theaceae,tropicos;usda, ,
Cleyera japonica,Cleyera japonica,,1,Synonym,Adinandra japonica,(Thunb.) T.L. Ming,Pentaphylacaceae,tropicos, ,
Cinnamomum japonicum,Cinnamomum japonicum,,1,Accepted,Cinnamomum japonicum,Siebold,Lauraceae,tropicos, ,
Neolitsea sericea,Neolitsea sericea,,1,Accepted,Neolitsea sericea,(Blume) Koidz.,Lauraceae,tropicos, ,
Illicium anisatum,Illicium anisatum,,1,No opinion,,,,tropicos, ,
Maesa japonica,Maesa japonica,,1,Accepted,Maesa japonica,(Thunb.) Moritzi & Zoll.,Primulaceae,tropicos, ,
Boehmeria sp,Boehmeria,,0.9,Accepted,Boehmeria,Jacq.,Urticaceae,tropicos, ,
Syzygium sp1,Syzygium,,0.9,Accepted,Syzygium,P. Browne ex Gaertn.,Myrtaceae,tropicos, ,
Macaranga triloba,Macaranga triloba,,1,Accepted,Macaranga triloba,(Thunb.) Müll. Arg.,Euphorbiaceae,tropicos, ,
Parashorea malaanonan,Parashorea,,0.5,Accepted,Parashorea,Kurz,Dipterocarpaceae,tropicos, [Partial match] ,
Shorea argentifolia,Shorea argentifolia,,1,No opinion,,,,tropicos, ,
Drimys piperita,Drimys piperita,,1,Synonym,Tasmannia piperita,(Hook. f.) Miers,Winteraceae,tropicos, ,
Syzygium confertum,Syzygium confertum,,1,Accepted,Syzygium confertum,(Korth.) Merr. & L.M. Perry,Myrtaceae,tropicos, ,
Macaranga sp,Macaranga,,0.9,Accepted,Macaranga,Thouars,Euphorbiaceae,tropicos, ,
Trigonobalanus verticillatus,Trigonobalanus verticillata,,0.97,Accepted,Trigonobalanus verticillata,Forman,Fagaceae,tropicos, ,
Tristaniopsis clementis,Tristaniopsis clementis,,1,Accepted,Tristaniopsis clementis,(Merr.) Peter G. Wilson & J.T. Waterh.,Myrtaceae,tropicos, ,
Syzygium houttuynii,Syzygium houttuynii,,1,No opinion,,,,tropicos, ,
Lithocarpus havilandii,Lithocarpus havilandii,,1,Accepted,Lithocarpus havilandii,(Stapf) Barnett,Fagaceae,tropicos, ,
Photinia davidiana,Photinia davidiana,,1,Synonym,Stranvaesia davidiana var. davidiana,,Rosaceae,tropicos, ,
Schima brevifolia,Schima,,0.5,Accepted,Schima,Reinw. ex Blume,Theaceae,tropicos, [Partial match] ,
Syzygium sp2,Syzygium,,0.9,Accepted,Syzygium,P. Browne ex Gaertn.,Myrtaceae,tropicos, ,
Scolopia crassipes,Scolopia,,0.5,Accepted,Scolopia,Schreb.,Salicaceae,tropicos, [Partial match] ,
Eugenia mabaeoides,Eugenia mabaeoides,,1,No opinion,,,,tropicos, ,
Acronychia pedunculata,Acronychia pedunculata,,1,Accepted,Acronychia pedunculata,(L.) Miq.,Rutaceae,tropicos, ,
Actinodaphne ambigua,Actinodaphne ambigua,,1,No opinion,,,,tropicos, ,
Allophylus varians,Allophylus varians,,1,Illegitimate,,,,tropicos, ,
Michelia nilagirica,Michelia nilagirica,,1,Synonym,Magnolia nilagirica,(Zenk.) Figlar,Magnoliaceae,tropicos, ,
Carya glabra,Carya glabra,,1,Accepted,Carya glabra,(Mill.) Sweet,Juglandaceae,tropicos;usda, ,
Fagus grandifolia,Fagus grandifolia,,1,Accepted,Fagus grandifolia,Ehrh.,Fagaceae,tropicos;usda, ,
Liriodendron tulipifera,Liriodendron tulipifera,,1,Accepted,Liriodendron tulipifera,L.,Magnoliaceae,tropicos;usda, ,
Quercus prinus,Quercus prinus,,1,Rejected name,,,,tropicos, ,
Quercus velutina,Quercus velutina,,1,Accepted,Quercus velutina,Lam.,Fagaceae,tropicos;usda, ,
Fagus grandfolia,Fagus grandifolia,,0.99,Accepted,Fagus grandifolia,Ehrh.,Fagaceae,tropicos;usda, ,
Populus grandidentata,Populus grandidentata,,1,Accepted,Populus grandidentata,Michx.,Salicaceae,tropicos;usda, ,
Anacardium excelsum,Anacardium excelsum,,1,Accepted,Anacardium excelsum,(Kunth) Skeels,Anacardiaceae,tropicos, ,
Castilla elastica,Castilla elastica,,1,Accepted,Castilla elastica,Sessé,Moraceae,tropicos;usda, ,
Antirrhoea trichantha,Antirrhoea trichantha,,1,Invalid,Antirhea trichantha,(Griseb.) Hemsl.,Rubiaceae,tropicos, ,
Cecropia longipes,Cecropia longipes,,1,Accepted,Cecropia longipes,Pittier,Urticaceae,tropicos, ,
Acer palmatum,Acer palmatum,,1,Accepted,Acer palmatum,Thunb.,Sapindaceae,tropicos;usda, ,
Acer mono,Acer mono,,1,Synonym,Acer pictum subsp. mono,(Maxim.) H. Ohashi,Sapindaceae,tropicos, ,
Carpinus cordata,Carpinus cordata,,1,Accepted,Carpinus cordata,Blume,Betulaceae,tropicos, ,
Cornus contraversa,Cornus controversa,,0.99,Accepted,Cornus controversa,Hemsl.,Cornaceae,tropicos, ,
Ostrya japonica,Ostrya japonica,,1,Accepted,Ostrya japonica,Sarg.,Betulaceae,tropicos, ,
Populus sieboldii,Populus sieboldii,,1,No opinion,,,,tropicos, ,
Prunus ssiori,Prunus ssiori,,1,Synonym,Padus ssiori,(F. Schmidt) C.K. Schneid.,Rosaceae,tropicos, ,
Maackia amurensis,Maackia amurensis,,1,Accepted,Maackia amurensis,Rupr.,Fabaceae,tropicos, ,
Juglans ailanthifolia,Juglans ailanthifolia,,1,Synonym,Juglans ailantifolia,Carrière,Juglandaceae,usda, ,
Cercidiphyllum japonicum,Cercidiphyllum japonicum,,1,Accepted,Cercidiphyllum japonicum,Siebold & Zucc.,Cercidiphyllaceae,tropicos;usda, ,
Sorbus commixta,Sorbus commixta,,1,No opinion,,,,tropicos, ,
Fraxinus madshurica,Fraxinus mandshurica,,0.99,Accepted,Fraxinus mandshurica,Rupr.,Oleaceae,tropicos;usda, ,
Kalopanax pictus,Kalopanax pictus,,1,Synonym,Kalopanax septemlobus,(Thunb.) Koidz.,Araliaceae,tropicos, ,
Tilia japonica,Tilia japonica,,1,Accepted,Tilia japonica,(Miq.) Simonk.,Malvaceae,tropicos;usda, ,
Betula maximowicziana,Betula maximowicziana,,1,Accepted,Betula maximowicziana,Regel,Betulaceae,tropicos;usda, ,
Betula platyphylla,Betula platyphylla,,1,Accepted,Betula platyphylla,Sukaczev,Betulaceae,tropicos;usda, ,
Alnus hirsuta,Alnus hirsuta,,1,Accepted,Alnus hirsuta,Turcz. ex Rupr.,Betulaceae,tropicos, ,
Tilia maximowicziana,Tilia maximowicziana,,1,No opinion,,,,tropicos, ,
Ulmus davidiana,Ulmus davidiana,,1,Accepted,Ulmus davidiana,Planch.,Ulmaceae,tropicos;usda, ,
Prunus sargentii,Prunus sargentii,,1,Synonym,Cerasus sachalinensis,Kom.,Rosaceae,tropicos, ,
Sorbus alnifolia,Sorbus alnifolia,,1,Accepted,Sorbus alnifolia,(Siebold & Zucc.) C. Koch,Rosaceae,tropicos, ,
Magnolia obovata,Magnolia obovata,,1,Synonym,Houpoea obovata,(Thunb.) N.H. Xia & C.Y. Wu,Magnoliaceae,tropicos, ,
Alnus japonica,Alnus japonica,,1,Accepted,Alnus japonica,(Thunb.) Steud.,Betulaceae,tropicos;usda, ,
Betula ermanii,Betula ermanii,,1,Accepted,Betula ermanii,Cham.,Betulaceae,tropicos, ,
Fagus crenata,Fagus crenata,,1,Synonym,Nothofagus fusca,(Blume) Oerst.,Nothofagaceae,tropicos, ,
Quercus mongolica,Quercus mongolica,,1,Accepted,Quercus mongolica,Fisch. ex Ledeb.,Fagaceae,tropicos;usda, ,
Ulmus laciniata,Ulmus laciniata,,1,Accepted,Ulmus laciniata,(Trautv.) Mayr,Ulmaceae,tropicos, ,
Betula davurica,Betula davurica,,1,Invalid,,,,tropicos, ,
Salix hultenii,Salix hultenii,,1,Synonym,Salix caprea,L.,Salicaceae,tropicos, ,
Populus maximowiczii,Populus maximowiczii,,1,Accepted,Populus maximowiczii,A. Henry,Salicaceae,tropicos;usda, ,
Nothofagus menziesii,Nothofagus menziesii,,1,Accepted,Nothofagus menziesii,(Hook. f.) Oerst.,Nothofagaceae,tropicos, ,
Griselinia littoralis,Griselinia littoralis,,1,Accepted,Griselinia littoralis,(Raoul) Raoul,Griseliniaceae,tropicos, ,
Gaultheria antipoda,Gaultheria antipoda,,1,Synonym,Pernettya macrostigma,Colenso,Ericaceae,tropicos, ,
Ranunculus hirtus,Ranunculus hirtus,,1,No opinion,,,,tropicos, ,
Alnus incana,Alnus incana,,1,Accepted,Alnus incana,(L.) Moench,Betulaceae,tropicos;usda, ,
Andromeda polifolia,Andromeda polifolia,,1,Accepted,Andromeda polifolia,L.,Ericaceae,tropicos;usda, ,
Angelica sylvestris,Angelica sylvestris,,1,Accepted,Angelica sylvestris,L.,Apiaceae,tropicos;usda, ,
Anthriscus sylvestris,Anthriscus sylvestris,,1,Accepted,Anthriscus sylvestris,(L.) Hoffm.,Apiaceae,tropicos;usda, ,
Arctostaphylos alpina,Arctostaphylos alpina,,1,Synonym,Arctous alpina,(L.) Nied.,Ericaceae,tropicos, ,
Astragalus alpinus,Astragalus alpinus,,1,Accepted,Astragalus alpinus,L.,Fabaceae,tropicos;usda, ,
Astragalus frigidus,Astragalus frigidus,,1,Accepted,Astragalus frigidus,(L.) A. Gray,Fabaceae,tropicos, ,
Bartsia alpina,Bartsia alpina,,1,Accepted,Bartsia alpina,L.,Orobanchaceae,tropicos;usda, ,
Betula nana,Betula nana,,1,Accepted,Betula nana,L.,Betulaceae,tropicos;usda, ,
Betula pubescens,Betula pubescens,,1,Invalid,,,,tropicos, ,
Calamagrostis lapponica,Calamagrostis lapponica,,1,Synonym,Deyeuxia lapponica,(Wahlenb.) Kunth,Poaceae,tropicos, ,
Carex capitata,No suitable matches found.,,0,,,,,, ,
Carex rostrata,Carex rostrata,,1,Accepted,Carex rostrata,Stokes,Cyperaceae,tropicos;usda, ,
Carex vaginata,Carex vaginata,,1,Accepted,Carex vaginata,Tausch,Cyperaceae,tropicos;usda, ,
Cassiope tetragona,Cassiope tetragona,,1,Accepted,Cassiope tetragona,(L.) D. Don,Ericaceae,tropicos;usda, ,
Chamerion angustifolium,Chamerion angustifolium,,1,Accepted,Chamerion angustifolium,(L.) Holub,Onagraceae,tropicos;usda, ,
Cornus suecica,Cornus suecica,,1,Accepted,Cornus suecica,L.,Cornaceae,tropicos;usda, ,
Deschampsia cespitosa,Deschampsia cespitosa,,1,Accepted,Deschampsia cespitosa,(L.) P. Beauv.,Poaceae,tropicos;usda, ,
Diphasiastrum complanatum,Diphasiastrum complanatum,,1,Accepted,Diphasiastrum complanatum,(L.) Holub,Lycopodiaceae,tropicos, ,
Drosera rotundifolia,Drosera rotundifolia,,1,Accepted,Drosera rotundifolia,L.,Droseraceae,tropicos;usda, ,
Elytrigia repens,Elytrigia repens,,1,Synonym,Elytrigia repens subsp. repens,,Poaceae,tropicos, ,
Empetrum hermaphroditum,Empetrum hermaphroditum,,1,Accepted,Empetrum hermaphroditum,Hagerup,Ericaceae,tropicos, ,
Equisetum sylvaticum,Equisetum sylvaticum,,1,Accepted,Equisetum sylvaticum,L.,Equisetaceae,tropicos;usda, ,
Eriophorum angustifolium,Eriophorum angustifolium,,1,Accepted,Eriophorum angustifolium,Honck.,Cyperaceae,tropicos;usda, ,
Euphrasia frigida,Euphrasia frigida,,1,Accepted,Euphrasia frigida,Pugsley,Orobanchaceae,tropicos;usda, ,
Filipendula ulmaria,Filipendula ulmaria,,1,Accepted,Filipendula ulmaria,(L.) Maxim.,Rosaceae,tropicos;usda, ,
Geranium sylvaticum,Geranium sylvaticum,,1,Accepted,Geranium sylvaticum,L.,Geraniaceae,tropicos;usda, ,
Gymnocarpium dryopteris,Gymnocarpium dryopteris,,1,Accepted,Gymnocarpium dryopteris,(L.) Newman,Woodsiaceae,tropicos;usda, ,
Juncus arcticus,Juncus arcticus,,1,Accepted,Juncus arcticus,Willd.,Juncaceae,tropicos;usda, ,
Juniperus communis,Juniperus communis,,1,Accepted,Juniperus communis,L.,Cupressaceae,tropicos;usda, ,
Lathyrus pratensis,Lathyrus pratensis,,1,Accepted,Lathyrus pratensis,L.,Fabaceae,tropicos;usda, ,
Loiseleuria procumbens,Loiseleuria procumbens,,1,Accepted,Loiseleuria procumbens,(L.) Desv.,Ericaceae,tropicos;usda, ,
Lycopodium annotinum,Lycopodium annotinum,,1,Accepted,Lycopodium annotinum,L.,Lycopodiaceae,tropicos;usda, ,
Matteuccia struthiopteris,Matteuccia struthiopteris,,1,Accepted,Matteuccia struthiopteris,(L.) Tod.,Onocleaceae,tropicos, ,
Melampyrum sylvaticum,Melampyrum sylvaticum,,1,No opinion,,,,tropicos, ,
Orthilia secunda,Orthilia secunda,,1,Accepted,Orthilia secunda,(L.) House,Ericaceae,tropicos;usda, ,
Pedicularis lapponica,Pedicularis lapponica,,1,Accepted,Pedicularis lapponica,L.,Orobanchaceae,tropicos;usda, ,
Pedicularis sceptrum-carolinum,Pedicularis sceptrum-carolinum,,1,Accepted,Pedicularis sceptrum-carolinum,L.,Orobanchaceae,tropicos, ,
Phyllodoce caerulea,Phyllodoce caerulea,,1,Accepted,Phyllodoce caerulea,(L.) Bab.,Ericaceae,tropicos;usda, ,
Picea abies,Picea abies,,1,Accepted,Picea abies,(L.) H. Karst.,Pinaceae,tropicos, ,
Pinguicula vulgaris,Pinguicula vulgaris,,1,Accepted,Pinguicula vulgaris,L.,Lentibulariaceae,tropicos;usda, ,
Populus tremula,Populus tremula,,1,Accepted,Populus tremula,L.,Salicaceae,tropicos;usda, ,
Rhinanthus minor,Rhinanthus minor,,1,Accepted,Rhinanthus minor,L.,Orobanchaceae,tropicos;usda, ,
Rhodiola rosea,Rhodiola rosea,,1,Accepted,Rhodiola rosea,L.,Crassulaceae,tropicos;usda, ,
Rhododendron lapponicum,Rhododendron lapponicum,,1,Accepted,Rhododendron lapponicum,(L.) Wahlenb.,Ericaceae,tropicos;usda, ,
Ribes spicatum,Ribes spicatum,,1,Synonym,Ribes rubrum,L.,Grossulariaceae,tropicos, [Ambiguous match] ,
Rubus chamaemorus,Rubus chamaemorus,,1,Accepted,Rubus chamaemorus,L.,Rosaceae,tropicos;usda, ,
Rubus saxatilis,Rubus saxatilis,,1,Accepted,Rubus saxatilis,L.,Rosaceae,tropicos;usda, ,
Rumex obtusififolius,Rumex obtusifolius,,0.98,Accepted,Rumex obtusifolius,L.,Polygonaceae,tropicos;usda, ,
Salix lapponum,Salix lapponum,,1,No opinion,,,,tropicos, ,
Salix myrsinites,Salix myrsinites,,1,No opinion,,,,tropicos, ,
Salix reticulata,Salix reticulata,,1,Accepted,Salix reticulata,L.,Salicaceae,tropicos;usda, ,
Solidago virgaurea,Solidago virgaurea,,1,Accepted,Solidago virgaurea,L.,Asteraceae,tropicos, ,
Tanacetum vulgare,Tanacetum vulgare,,1,Accepted,Tanacetum vulgare,L.,Asteraceae,tropicos;gcc;usda, ,
Trifolium pratense,Trifolium pratense,,1,Accepted,Trifolium pratense,L.,Fabaceae,tropicos;usda, ,
Vaccinium uliginosum,Vaccinium uliginosum,,1,Accepted,Vaccinium uliginosum,L.,Ericaceae,tropicos;usda, ,
Viccia cracca,Vicia cracca,,0.97,Accepted,Vicia cracca,L.,Fabaceae,tropicos;usda, ,
Carex saxatilis,Carex saxatilis,,1,Accepted,Carex saxatilis,L.,Cyperaceae,tropicos;usda, ,
Diapensia lapponica,Diapensia lapponica,,1,Accepted,Diapensia lapponica,L.,Diapensiaceae,tropicos;usda, ,
Juncus trifidus,Juncus trifidus,,1,Accepted,Juncus trifidus,L.,Juncaceae,tropicos;usda, ,
Luzula multiflora,Luzula multiflora,,1,Accepted,Luzula multiflora,(Ehrh.) Lej.,Juncaceae,tropicos;usda, ,
Pedicularis hirsuta,Pedicularis hirsuta,,1,Accepted,Pedicularis hirsuta,L.,Orobanchaceae,tropicos;usda, ,
Phleum alpinum,Phleum alpinum,,1,Accepted,Phleum alpinum,L.,Poaceae,tropicos;usda, ,
Ranunculus nivalis,Ranunculus nivalis,,1,Accepted,Ranunculus nivalis,L.,Ranunculaceae,tropicos;usda, ,
Salix herbacea,Salix herbacea,,1,Accepted,Salix herbacea,L.,Salicaceae,tropicos;usda, ,
Salix polaris,Salix polaris,,1,Accepted,Salix polaris,Wahlenb.,Salicaceae,tropicos;usda, ,
Trollius europaeus,Trollius europaeus,,1,Accepted,Trollius europaeus,L.,Ranunculaceae,tropicos, ,
Veronica alpina,Veronica alpina,,1,Accepted,Veronica alpina,L.,Plantaginaceae,tropicos;usda, ,
Rubus corylifolius,Rubus corylifolius,,1,No opinion,,,,tropicos, ,
Crataegus x,Crataegus,,0.9,Accepted,Crataegus,L.,Rosaceae,tropicos, ,
Acer campestre,Acer campestre,,1,Accepted,Acer campestre,L.,Sapindaceae,tropicos;usda, ,
Ribes uva,Ribes,,0.5,Accepted,Ribes,L.,Grossulariaceae,tropicos, [Partial match] ,
Aegle marmelos,Aegle marmelos,,1,Accepted,Aegle marmelos,(L.) Corrêa,Rutaceae,tropicos, ,
Amoora rohitika,Amoora rohituka,,0.98,Synonym,Aphanamixis polystachya,(Wall.) R. Parker,Meliaceae,tropicos, ,
Annona squamosa,Annona squamosa,,1,Accepted,Annona squamosa,L.,Annonaceae,tropicos;usda, ,
Anthocephalus cadamba,Anthocephalus cadamba,,1,Synonym,Neolamarckia cadamba,(Roxb.) Bosser,Rubiaceae,tropicos, ,
Artocarpus heterophyllus,Artocarpus heterophyllus,,1,Accepted,Artocarpus heterophyllus,Lam.,Moraceae,tropicos;usda, ,
Artocarpus lakoocha,Artocarpus lakoocha,,1,Accepted,Artocarpus lakoocha,Wall. ex Roxb.,Moraceae,tropicos, ,
Azadirachta indica,Azadirachta indica,,1,Accepted,Azadirachta indica,A. Juss.,Meliaceae,tropicos;usda, ,
Bambusa bambos,Bambusa bambos,,1,Accepted,Bambusa bambos,(L.) Voss,Poaceae,tropicos, ,
Bauhinia variegata,Bauhinia variegata,,1,Accepted,Bauhinia variegata,L.,Fabaceae,tropicos;usda, ,
Bombax ceiba,Bombax ceiba,,1,Accepted,Bombax ceiba,L.,Malvaceae,tropicos;usda, ,
Bougainvellia spectabilis,Bougainvillea spectabilis,,0.97,Accepted,Bougainvillea spectabilis,Willd.,Nyctaginaceae,tropicos;usda, ,
Carissa carundu,Carissa,,0.5,Accepted,Carissa,L.,Apocynaceae,tropicos, [Partial match] ,
Cassia fistula,Cassia fistula,,1,Accepted,Cassia fistula,L.,Fabaceae,tropicos;usda, ,
Cordia dichotoma,Cordia dichotoma,,1,Accepted,Cordia dichotoma,G. Forst.,Boraginaceae,tropicos;usda, ,
Crescentia cujete,Crescentia cujete,,1,Accepted,Crescentia cujete,L.,Bignoniaceae,tropicos;usda, ,
Dalbergia sissoo,Dalbergia sissoo,,1,Accepted,Dalbergia sissoo,Roxb. ex DC.,Fabaceae,tropicos;usda, ,
Dillenia indica,Dillenia indica,,1,Accepted,Dillenia indica,L.,Dilleniaceae,tropicos;usda, ,
Diospyros embryopteris,Diospyros embryopteris,,1,Illegitimate,Cavanillea philippensis,Desr.,Ebenaceae,tropicos, ,
Eucalyptus globulus,Eucalyptus globulus,,1,Accepted,Eucalyptus globulus,Labill.,Myrtaceae,tropicos;usda, ,
Ficus benghalensis,Ficus benghalensis,,1,Accepted,Ficus benghalensis,L.,Moraceae,tropicos;usda, ,
Ficus carica,Ficus carica,,1,Accepted,Ficus carica,L.,Moraceae,tropicos;usda, ,
Ficus religiosa,Ficus religiosa,,1,Accepted,Ficus religiosa,L.,Moraceae,tropicos;usda, ,
Ficus rumphii,Ficus rumphii,,1,Accepted,Ficus rumphii,Blume,Moraceae,tropicos, ,
Gardenia jasminoides,Gardenia jasminoides,,1,Accepted,Gardenia jasminoides,J. Ellis,Rubiaceae,tropicos, ,
Grewia asiatica,Grewia asiatica,,1,Accepted,Grewia asiatica,L.,Malvaceae,tropicos;usda, ,
Hamelia patens,Hamelia patens,,1,Accepted,Hamelia patens,Jacq.,Rubiaceae,tropicos;usda, ,
Hibiscus rosa-sinensis,Hibiscus rosa-sinensis,,1,Accepted,Hibiscus rosa-sinensis,L.,Malvaceae,tropicos;usda, ,
Holoptelia integrifolia,Holoptelea integrifolia,,0.98,Invalid,,,,tropicos, ,
Ixora alba,Ixora alba,,1,Illegitimate,,,,tropicos, [Ambiguous match] ,
Ixora coccinea,Ixora coccinea,,1,Accepted,Ixora coccinea,L.,Rubiaceae,tropicos;usda, ,
Kigelia pinnata,Kigelia pinnata,,1,Accepted,Kigelia pinnata,(Jacq.) DC.,Bignoniaceae,tropicos, ,
Lagerstroemia speciosa,Lagerstroemia speciosa,,1,Accepted,Lagerstroemia speciosa,(L.) Pers.,Lythraceae,tropicos;usda, ,
Litchi chinensis,Litchi chinensis,,1,Accepted,Litchi chinensis,Sonn.,Sapindaceae,tropicos, ,
Madhuca indica,Madhuca indica,,1,Synonym,Madhuca longifolia,(J. Koenig ex L.) J.F. Macbr.,Sapotaceae,tropicos, ,
Magnolia grandiflora,Magnolia grandiflora,,1,Accepted,Magnolia grandiflora,L.,Magnoliaceae,tropicos;usda, ,
Mallotus phillippensis,Mallotus philippensis,,0.99,Accepted,Mallotus philippensis,(Lam.) Müll. Arg.,Euphorbiaceae,tropicos;usda, ,
Mangifera indica,Mangifera indica,,1,Accepted,Mangifera indica,L.,Anacardiaceae,tropicos;usda, ,
Mimusops elengi,Mimusops elengi,,1,Accepted,Mimusops elengi,L.,Sapotaceae,tropicos;usda, ,
Mimusops hexendra,Mimusops hexandra,,0.98,Synonym,Manilkara hexandra,(Roxb.) Dubard,Sapotaceae,tropicos, ,
Mitragyna parviflora,Mitragyna parvifolia,,0.96,Accepted,Mitragyna parvifolia,(Roxb.) Korth.,Rubiaceae,tropicos, ,
Morus alba,Morus alba,,1,Accepted,Morus alba,L.,Moraceae,tropicos;usda, ,
Nyctanthes arbor-tristis,Nyctanthes arbor-tristis,,1,Accepted,Nyctanthes arbor-tristis,L.,Oleaceae,tropicos, ,
Polyalthia longifolia,Polyalthia longifolia,,1,Accepted,Polyalthia longifolia,(Sonn.) Thwaites,Annonaceae,tropicos, [Ambiguous match] ,
Polyalthia pendulosa,Polyalthia pendula,,0.95,Accepted,Polyalthia pendula,Capuron ex G.E. Schatz & Le Thomas,Annonaceae,tropicos, ,
Pongamia pinnata,Pongamia pinnata,,1,Accepted,Pongamia pinnata,(L.) Pierre,Fabaceae,tropicos, ,
Populus deltoides,Populus deltoides,,1,Accepted,Populus deltoides,W. Bartram ex Marshall,Salicaceae,tropicos, ,
Psidium guajava,Psidium guajava,,1,Accepted,Psidium guajava,L.,Myrtaceae,tropicos;usda, ,
Pterospermum acerifolia,Pterospermum acerifolium,,0.97,Accepted,Pterospermum acerifolium,Willd.,Malvaceae,tropicos, ,
Quisqualis indica,Quisqualis indica,,1,Accepted,Quisqualis indica,L.,Combretaceae,tropicos;usda, ,
Sapindus mykorossi,Sapindus mukorossi,,0.98,Accepted,Sapindus mukorossi,Gaertn.,Sapindaceae,tropicos;usda, ,
Saraca indica,Saraca indica,,1,Accepted,Saraca indica,L.,Fabaceae,tropicos, ,
Schleichera oleosa,Schleichera oleosa,,1,Accepted,Schleichera oleosa,(Lour.) Merr.,Sapindaceae,tropicos, ,
Semecarpus anacardium,Semecarpus anacardium,,1,No opinion,,,,tropicos, ,
Spathodea companulata,Spathodea campanulata,,0.99,Accepted,Spathodea campanulata,P. Beauv.,Bignoniaceae,tropicos;usda, ,
Spondias mangifera,Spondias mangifera,,1,Synonym,Spondias pinnata,(L. f.) Kurz,Anacardiaceae,tropicos, ,
Sterculia alata,Sterculia alata,,1,Synonym,Pterygota alata,(Roxb.) R. Br.,Malvaceae,tropicos, ,
Sterculia colorata,Sterculia colorata,,1,Synonym,Firmiana colorata,(Roxb.) R. Br.,Malvaceae,tropicos, ,
Strychnos nuxvomica,Strychnos nux-vomica,,1,Accepted,Strychnos nux-vomica,L.,Loganiaceae,tropicos;usda, ,
Swietinia mahogoni,Swietenia mahogoni,,0.98,Illegitimate,,,,tropicos, ,
Syzygium jambos,Syzygium jambos,,1,Accepted,Syzygium jambos,(L.) Alston,Myrtaceae,tropicos;usda, ,
Tabernaemontana coronaria,Tabernaemontana coronaria,,1,Synonym,Tabernaemontana divaricata,(L.) R. Br. ex Roem. & Schult.,Apocynaceae,tropicos, ,
Tectona grandis,Tectona grandis,,1,Accepted,Tectona grandis,L. f.,Lamiaceae,tropicos;usda, ,
Terminalia arjuna,Terminalia arjuna,,1,Accepted,Terminalia arjuna,(Roxb. ex DC.) Wight & Arn.,Combretaceae,tropicos, ,
Terminalia bellirica,Terminalia bellirica,,1,Accepted,Terminalia bellirica,(Gaertn.) Roxb.,Combretaceae,tropicos;usda, ,
Terminalia chebula,Terminalia chebula,,1,Accepted,Terminalia chebula,Retz.,Combretaceae,tropicos, ,
Thevetia paruviana,Thevetia peruviana,,0.98,Accepted,Thevetia peruviana,(Pers.) K. Schum.,Apocynaceae,tropicos;usda, ,
Woodfordia fruticosa,Woodfordia fruticosa,,1,Accepted,Woodfordia fruticosa,(L.) Kurz,Lythraceae,tropicos, ,
Ziziphus jujuba,Ziziphus jujuba,,1,Accepted,Ziziphus jujuba,Mill.,Rhamnaceae,tropicos, [Ambiguous match] ,
Adina cordifolia,Adina cordifolia,,1,Synonym,Haldina cordifolia,(Roxb.) Ridsdale,Rubiaceae,tropicos, [Ambiguous match] ,
Anogeissus latifolia,Anogeissus latifolia,,1,Accepted,Anogeissus latifolia,(Roxb. ex DC.) Wall. ex Bedd.,Combretaceae,tropicos, [Ambiguous match] ,
Bauhinia racemosa,Bauhinia racemosa,,1,Accepted,Bauhinia racemosa,Lam.,Fabaceae,tropicos, ,
Boswellia serrata,Boswellia serrata,,1,No opinion,,,,tropicos, ,
Bridelia retusa,Bridelia retusa,,1,Accepted,Bridelia retusa,(L.) A. Juss.,Phyllanthaceae,tropicos, ,
