"Code","Dataset","BIOME","Genus","Species","GF","Decid.E.green","Needle.Broad.lf","C3C4","N2.fixer","log.LL","log.LMA","log.Nmass","log.Narea","log.Pmass","log.Parea","log.Amass","log.Aarea","log.Gs","log.Rdmass","log.Rdarea","Ca...Ci","Angio"
789,"Gulias_S—ller","WLAND","Pistacia","terebinthus","S","D","B","C3","N",NA,2.13,0.45,0.58,NA,NA,2.19,1.31,2.57,NA,NA,134,TRUE
790,"Gulias_S—ller","WLAND","Pteridium","aquilinum","F","","B","C3","N",NA,2.03,0.332,0.367,NA,NA,2.06,1.09,2.13,NA,NA,167,FALSE
791,"Gulias_S—ller","WLAND","Silene","mollisima","S","E","B","C3","N",NA,1.84,0.563,0.399,NA,NA,2.33,1.16,2.37,NA,NA,131,TRUE
792,"Gulias_S—ller","WLAND","Urtica","atrovirens","H","","B","C3","N",NA,1.64,0.61,0.254,NA,NA,2.55,1.19,2.53,NA,NA,107.5,TRUE
793,"Gulias_S—ller","WLAND","Viola","jaubertiana","H","E","B","C3","N",NA,1.72,0.562,0.284,NA,NA,2.34,1.05,2.37,NA,NA,112.5,TRUE
794,"Gulias_S—ller","WLAND","Viola","stolonifera","H","E","B","C3","N",NA,1.59,0.622,0.211,NA,NA,2.51,1.1,2.36,NA,NA,125.3,TRUE
795,"Gulias_S—ller","WLAND","Viola","x","H","E","B","C3","N",NA,1.8,0.43,0.233,NA,NA,2.27,1.07,2.26,NA,NA,138.5,TRUE
796,"Gulias_UIB","WLAND","Amaranthus","blitoides","H","","B","C4","N",NA,1.74,0.635,0.377,NA,NA,2.79,1.53,2.4,NA,NA,266.5,TRUE
797,"Gulias_UIB","WLAND","Amaranthus","retroflexus","H","","B","C4","N",NA,1.77,0.407,0.177,NA,NA,2.53,1.3,2.15,NA,NA,283.9,TRUE
798,"Gulias_UIB","WLAND","Anagyris","foetida","S","D","B","C3","Y",NA,1.98,0.571,0.624,NA,NA,2.36,1.33,2.58,NA,NA,149.8,TRUE
799,"Gulias_UIB","WLAND","Atriplex","halimus","S","E","B","C4","N",NA,1.94,0.716,0.658,NA,NA,2.41,1.34,2.43,NA,NA,202.2,TRUE
800,"Gulias_UIB","WLAND","Beta","vulgaris","H","","B","C3","N",NA,1.71,0.581,0.56,NA,NA,2.65,1.35,2.87,NA,NA,117.3,TRUE
801,"Gulias_UIB","WLAND","Ceratonia","siliqua","T","E","B","C3","Y",NA,2.4,0.155,0.557,NA,NA,1.72,1.12,2.44,NA,NA,118.8,TRUE
802,"Gulias_UIB","WLAND","Chenopodium","album","H","","B","C3","N",NA,1.83,0.623,0.336,NA,NA,2.6,1.42,2.91,NA,NA,126.2,TRUE
803,"Gulias_UIB","WLAND","Cichorium","intybus","H","","B","C3","N",NA,1.54,0.55,0.094,NA,NA,2.74,1.27,2.89,NA,NA,94.3,TRUE
804,"Gulias_UIB","WLAND","Convolvulus","arvensis","H","","B","C3","N",NA,1.62,0.738,0.359,NA,NA,2.63,1.24,2.64,NA,NA,99.8,TRUE
805,"Gulias_UIB","WLAND","Datura","stramonium","H","","B","C3","N",NA,1.68,0.757,0.607,NA,NA,2.78,1.46,3.09,NA,NA,114.8,TRUE
806,"Gulias_UIB","WLAND","Dittrichia","viscosa","S","","B","C3","N",NA,1.73,0.531,0.263,NA,NA,2.5,1.22,2.6,NA,NA,99,TRUE
807,"Gulias_UIB","WLAND","Fraxinus","angustifolia","T","D","B","C3","N",NA,2.05,0.375,0.446,NA,NA,2.31,1.36,2.64,NA,NA,130.5,TRUE
808,"Gulias_UIB","WLAND","Helleborus","lividus","S","E","B","C3","N",NA,2.23,0.228,0.288,NA,NA,1.88,1.11,2.3,NA,NA,149.7,TRUE
809,"Gulias_UIB","WLAND","Helleborus","foetidus","S","E","B","C3","N",NA,2.23,0.22,0.453,NA,NA,1.84,1.06,2.38,NA,NA,118.5,TRUE
810,"Gulias_UIB","WLAND","Lavandula","dentata","S","E","B","C3","N",NA,1.9,0.391,0.291,NA,NA,2.47,1.38,2.64,NA,NA,113.8,TRUE
811,"Gulias_UIB","WLAND","Lavatera","cretica","H","","B","C3","N",NA,1.68,0.702,0.382,NA,NA,2.8,1.46,2.89,NA,NA,115.7,TRUE
812,"Gulias_UIB","WLAND","Paeonia","cambessedesii","H","","B","C3","N",NA,2.06,0.241,0.174,NA,NA,2.02,1.08,2.34,NA,NA,132,TRUE
813,"Gulias_UIB","WLAND","Populus","alba","T","D","B","C3","N",NA,1.96,0.371,0.056,NA,NA,2.28,1.22,2.35,NA,NA,169,TRUE
814,"Gulias_UIB","WLAND","Quercus","humilis","T","D","B","C3","N",NA,2.02,0.436,0.441,NA,NA,2.2,1.22,2.41,NA,NA,141.3,TRUE
815,"Gulias_UIB","WLAND","Verbascum","sinuatum","H","","B","C3","N",NA,1.86,0.318,0.183,NA,NA,2.53,1.4,2.89,NA,NA,120.7,TRUE
816,"Gulias_UIB","WLAND","Vitex","agnus-castus","S","D","B","C3","N",NA,1.92,0.524,0.444,NA,NA,2.44,1.35,2.67,NA,NA,140.5,TRUE
817,"Hikosaka-Japan_Chiba_Japan","TEMP_FOR","Castanopsis","sieboldii","T","E","B","C3","N",1.15,2.08,0.002,0.086,NA,NA,1.65,0.78,NA,NA,NA,99.8,TRUE
818,"Hikosaka-Japan_Chiba_Japan","TEMP_FOR","Quercus","acuta","T","E","B","C3","N",1.16,2.05,-0.1,-0.055,NA,NA,1.67,0.75,NA,NA,NA,89.3,TRUE
819,"Hikosaka-Japan_Chiba_Japan","TEMP_FOR","Camellia","japonica","T","E","B","C3","N",1.09,2.01,0.006,0.011,NA,NA,1.86,0.87,NA,NA,NA,86.9,TRUE
820,"Hikosaka-Japan_Chiba_Japan","TEMP_FOR","Cleyera","japonica","T","E","B","C3","N",0.89,2.02,0.06,0.085,NA,NA,1.84,0.87,NA,NA,NA,81.3,TRUE
821,"Hikosaka-Japan_Chiba_Japan","TEMP_FOR","Cinnamomum","japonicum","T","E","B","C3","N",1.38,2.05,-0.01,0.04,NA,NA,1.61,0.67,NA,NA,NA,104.5,TRUE
822,"Hikosaka-Japan_Chiba_Japan","TEMP_FOR","Neolitsea","sericea","T","E","B","C3","N",1.2,1.98,0.021,0.001,NA,NA,1.62,0.59,NA,NA,NA,114.3,TRUE
823,"Hikosaka-Japan_Chiba_Japan","TEMP_FOR","Illicium","anisatum","T","E","B","C3","N",1.22,1.76,0.098,-0.139,NA,NA,1.82,0.58,NA,NA,NA,93.5,TRUE
824,"Hikosaka-Japan_Chiba_Japan","TEMP_FOR","Maesa","japonica","S","E","B","C3","N",1.16,1.91,0.043,-0.048,NA,NA,1.78,0.7,NA,NA,NA,88.9,TRUE
825,"Hikosaka-Malaysia_Mt_Kinabalu_low","TROP_RF","Boehmeria","sp","S","E","B","C3","N",NA,1.74,0.398,0.143,NA,NA,2.01,0.74,NA,NA,NA,NA,TRUE
826,"Hikosaka-Malaysia_Mt_Kinabalu_low","TROP_RF","Syzygium","sp1","T","E","B","C3","N",NA,1.82,0.17,-0.043,NA,NA,1.72,0.53,NA,NA,NA,NA,TRUE
827,"Hikosaka-Malaysia_Mt_Kinabalu_low","TROP_RF","Macaranga","triloba","T","E","B","C3","N",NA,1.54,0.515,0.067,NA,NA,2.34,0.9,NA,NA,NA,NA,TRUE
828,"Hikosaka-Malaysia_Mt_Kinabalu_low","TROP_RF","Parashorea","malaanonan","T","E","B","C3","N",NA,1.69,0.28,-0.032,NA,NA,1.94,0.63,NA,NA,NA,NA,TRUE
829,"Hikosaka-Malaysia_Mt_Kinabalu_low","TROP_RF","Shorea","argentifolia","T","E","B","C3","N",NA,1.67,0.324,-0.011,NA,NA,2.03,0.69,NA,NA,NA,NA,TRUE
830,"Hikosaka-Malaysia_Mt_Kinabalu_med","TROP_RF","Drimys","piperita","S","E","B","C3","N",NA,1.82,0.18,0.004,NA,NA,1.87,0.68,NA,NA,NA,NA,TRUE
831,"Hikosaka-Malaysia_Mt_Kinabalu_med","TROP_RF","Syzygium","confertum","T","E","B","C3","N",NA,2.06,0.132,0.187,NA,NA,1.67,0.77,NA,NA,NA,NA,TRUE
832,"Hikosaka-Malaysia_Mt_Kinabalu_med","TROP_RF","Macaranga","sp","T","E","B","C3","N",NA,1.82,0.171,-0.005,NA,NA,1.89,0.71,NA,NA,NA,NA,TRUE
833,"Hikosaka-Malaysia_Mt_Kinabalu_med","TROP_RF","Trigonobalanus","verticillatus","T","E","B","C3","N",NA,1.99,0.184,0.171,NA,NA,1.74,0.73,NA,NA,NA,NA,TRUE
834,"Hikosaka-Malaysia_Mt_Kinabalu_med","TROP_RF","Tristaniopsis","clementis","T","E","B","C3","N",NA,2.1,0.053,0.146,NA,NA,1.77,0.82,NA,NA,NA,NA,TRUE
835,"Hikosaka-Malaysia_Mt_Kinabalu_high","TEMP_RF","Drimys","piperita","S","E","B","C3","N",NA,2.07,0.253,0.327,NA,NA,1.51,0.57,NA,NA,NA,NA,TRUE
836,"Hikosaka-Malaysia_Mt_Kinabalu_high","TEMP_RF","Syzygium","houttuynii","T","E","B","C3","N",NA,2.26,0.101,0.352,NA,NA,1.29,0.54,NA,NA,NA,NA,TRUE
837,"Hikosaka-Malaysia_Mt_Kinabalu_high","TEMP_RF","Lithocarpus","havilandii","T","E","B","C3","N",NA,2.32,0.085,0.404,NA,NA,1.24,0.55,NA,NA,NA,NA,TRUE
838,"Hikosaka-Malaysia_Mt_Kinabalu_high","TEMP_RF","Photinia","davidiana","T","E","B","C3","N",NA,2.17,0.347,0.505,NA,NA,1.66,0.81,NA,NA,NA,NA,TRUE
839,"Hikosaka-Malaysia_Mt_Kinabalu_high","TEMP_RF","Schima","brevifolia","T","E","B","C3","N",NA,2.2,0.087,0.294,NA,NA,1.43,0.61,NA,NA,NA,NA,TRUE
840,"Hikosaka-Malaysia_Mt_Kinabalu_highest","TEMP_RF","Drimys","piperita","S","E","B","C3","N",NA,2.07,0.346,0.416,NA,NA,1.39,0.44,NA,NA,NA,NA,TRUE
841,"Hikosaka-Malaysia_Mt_Kinabalu_highest","TEMP_RF","Syzygium","sp2","T","E","B","C3","N",NA,2.26,0.246,0.503,NA,NA,1.2,0.45,NA,NA,NA,NA,TRUE
842,"Hikosaka-Malaysia_Mt_Kinabalu_highest","TEMP_RF","Photinia","davidiana","T","E","B","C3","N",NA,2.11,0.336,0.428,NA,NA,1.5,0.57,NA,NA,NA,NA,TRUE
843,"Jayasekara_Sri_Lanka","TEMP_RF","Scolopia","crassipes","T","","","","N",NA,2.08,0.134,0.212,-1.075,-0.996,NA,NA,NA,NA,NA,NA,TRUE
844,"Jayasekara_Sri_Lanka","TEMP_RF","Eugenia","mabaeoides","T","","","","N",NA,1.95,0.111,0.064,-1.147,-1.193,NA,NA,NA,NA,NA,NA,TRUE
845,"Jayasekara_Sri_Lanka","TEMP_RF","Acronychia","pedunculata","T","","","","N",NA,2.01,0.322,0.334,-1.025,-1.013,NA,NA,NA,NA,NA,NA,TRUE
846,"Jayasekara_Sri_Lanka","TEMP_RF","Actinodaphne","ambigua","T","","","","N",NA,2.18,0.057,0.241,-1.174,-0.989,NA,NA,NA,NA,NA,NA,TRUE
847,"Jayasekara_Sri_Lanka","TEMP_RF","Allophylus","varians","T","","","","N",NA,1.94,0.356,0.301,-0.818,-0.874,NA,NA,NA,NA,NA,NA,TRUE
848,"Jayasekara_Sri_Lanka","TEMP_RF","Michelia","nilagirica","T","","","","N",NA,1.92,0.262,0.182,-0.94,-1.021,NA,NA,NA,NA,NA,NA,TRUE
849,"Jose_Gillespie_Indiana","TEMP_FOR","Acer","saccharum","T","D","B","C3","N",NA,1.81,0.207,0.021,-0.959,-1.144,NA,NA,NA,NA,NA,NA,TRUE
850,"Jose_Gillespie_Indiana","TEMP_FOR","Carya","glabra","T","D","B","C3","N",NA,1.87,0.22,0.093,-0.921,-1.048,NA,NA,NA,NA,NA,NA,TRUE
851,"Jose_Gillespie_Indiana","TEMP_FOR","Fagus","grandifolia","T","D","B","C3","N",NA,1.83,0.294,0.124,-0.921,-1.091,NA,NA,NA,NA,NA,NA,TRUE
852,"Jose_Gillespie_Indiana","TEMP_FOR","Liriodendron","tulipifera","T","D","B","C3","N",NA,1.88,0.236,0.12,-0.921,-1.036,NA,NA,NA,NA,NA,NA,TRUE
853,"Jose_Gillespie_Indiana","TEMP_FOR","Quercus","alba","T","D","B","C3","N",NA,1.9,0.253,0.149,-0.721,-0.825,NA,NA,NA,NA,NA,NA,TRUE
854,"Jose_Gillespie_Indiana","TEMP_FOR","Quercus","prinus","T","D","B","","N",NA,1.94,0.176,0.116,-0.886,-0.946,NA,NA,NA,NA,NA,NA,TRUE
855,"Jose_Gillespie_Indiana","TEMP_FOR","Quercus","rubra","T","D","B","C3","N",NA,1.97,0.21,0.182,-0.921,-0.948,NA,NA,NA,NA,NA,NA,TRUE
856,"Jose_Gillespie_Indiana","TEMP_FOR","Quercus","velutina","T","D","B","","N",NA,2.02,0.14,0.162,-0.921,-0.899,NA,NA,NA,NA,NA,NA,TRUE
857,"Jurik86_Pellston_MI","TEMP_FOR","Acer","rubrum","T","D","B","C3","N",NA,1.86,NA,NA,NA,NA,2.06,0.92,NA,NA,NA,NA,TRUE
858,"Jurik86_Pellston_MI","TEMP_FOR","Acer","saccharum","T","D","B","C3","N",NA,1.77,NA,NA,NA,NA,1.93,0.7,NA,NA,NA,NA,TRUE
859,"Jurik86_Pellston_MI","TEMP_FOR","Fagus","grandfolia","T","D","B","C3","N",NA,1.79,NA,NA,NA,NA,2.02,0.81,NA,NA,NA,NA,TRUE
860,"Jurik86_Pellston_MI","TEMP_FOR","Populus","grandidentata","T","D","B","C3","N",NA,1.89,NA,NA,NA,NA,2.29,1.18,NA,NA,NA,NA,TRUE
861,"Jurik86_Pellston_MI","TEMP_FOR","Quercus","rubra","T","D","B","C3","N",NA,2.04,NA,NA,NA,NA,2.06,1.1,NA,NA,NA,NA,TRUE
862,"Kitajima_Panama","TROP_RF","Anacardium","excelsum","T","E","B","","N",0.93,1.92,0.22,0.145,NA,NA,2.1,1.02,2.4,1.41,0.34,108.3,TRUE
863,"Kitajima_Panama","TROP_RF","Luehea","seemannii","T","D","B","","N",0.8,2.14,0.307,0.443,NA,NA,2.13,1.27,2.89,1.33,0.47,101.1,TRUE
864,"Kitajima_Panama","TROP_RF","Castilla","elastica","T","D","B","","N",0.76,1.89,0.328,0.217,NA,NA,2,0.89,2.55,1.43,0.32,77,TRUE
865,"Kitajima_Panama","TROP_RF","Antirrhoea","trichantha","T","D","B","","N",0.76,1.97,0.316,0.284,NA,NA,2.32,1.29,2.94,1.26,0.23,90.4,TRUE
866,"Kitajima_Panama","TROP_RF","Urera","caracasana","T","D","B","","N",0.48,1.83,0.583,0.409,NA,NA,2.36,1.19,3.12,1.46,0.29,71.9,TRUE
867,"Kitajima_Panama","TROP_RF","Cecropia","longipes","T","D","B","","N",0.46,2.06,0.417,0.478,NA,NA,2.24,1.3,2.56,1.34,0.4,150.9,TRUE
868,"Koike_SAPPORO__JAPAN","TEMP_FOR","Acer","palmatum","T","D","B","C3","N",NA,1.65,NA,NA,NA,NA,1.97,0.62,NA,NA,NA,NA,TRUE
869,"Koike_SAPPORO__JAPAN","TEMP_FOR","Acer","mono","T","D","B","C3","N",0.65,1.75,0.204,-0.044,NA,NA,1.91,0.66,NA,NA,NA,NA,TRUE
870,"Koike_SAPPORO__JAPAN","TEMP_FOR","Carpinus","cordata","T","D","B","C3","N",NA,1.8,NA,NA,NA,NA,1.94,0.73,NA,NA,NA,NA,TRUE
871,"Koike_SAPPORO__JAPAN","TEMP_FOR","Cornus","contraversa","T","D","B","C3","N",0.63,1.8,NA,NA,NA,NA,1.97,0.77,NA,NA,NA,NA,TRUE
872,"Koike_SAPPORO__JAPAN","TEMP_FOR","Ostrya","japonica","T","D","B","C3","N",0.67,1.81,NA,NA,NA,NA,2.01,0.82,NA,NA,NA,NA,TRUE
873,"Koike_SAPPORO__JAPAN","TEMP_FOR","Populus","sieboldii","T","D","B","C3","N",0.55,1.83,NA,NA,NA,NA,2.18,1.01,NA,NA,NA,NA,TRUE
874,"Koike_SAPPORO__JAPAN","TEMP_FOR","Prunus","ssiori","T","D","B","C3","N",NA,1.86,NA,NA,NA,NA,1.88,0.74,NA,NA,NA,NA,TRUE
875,"Koike_SAPPORO__JAPAN","TEMP_FOR","Maackia","amurensis","T","D","B","C3","Y",0.63,1.88,NA,NA,NA,NA,1.95,0.83,NA,NA,NA,NA,TRUE
876,"Koike_SAPPORO__JAPAN","TEMP_FOR","Juglans","ailanthifolia","T","D","B","C3","N",0.57,1.9,0.491,0.392,NA,NA,1.96,0.86,NA,NA,NA,NA,TRUE
877,"Koike_SAPPORO__JAPAN","TEMP_FOR","Cercidiphyllum","japonicum","T","D","B","C3","N",0.64,1.86,NA,NA,NA,NA,2.01,0.86,NA,NA,NA,NA,TRUE
878,"Koike_SAPPORO__JAPAN","TEMP_FOR","Sorbus","commixta","T","D","B","C3","N",0.71,1.87,NA,NA,NA,NA,2,0.87,NA,NA,NA,NA,TRUE
879,"Koike_SAPPORO__JAPAN","TEMP_FOR","Fraxinus","madshurica","T","D","B","C3","N",0.57,1.86,0.38,0.238,NA,NA,2.02,0.88,NA,NA,NA,NA,TRUE
880,"Koike_SAPPORO__JAPAN","TEMP_FOR","Kalopanax","pictus","T","D","B","C3","N",NA,1.88,NA,NA,NA,NA,2.01,0.89,NA,NA,NA,NA,TRUE
881,"Koike_SAPPORO__JAPAN","TEMP_FOR","Tilia","japonica","T","D","B","C3","N",NA,1.87,0.38,0.249,NA,NA,2.03,0.9,NA,NA,NA,NA,TRUE
882,"Koike_SAPPORO__JAPAN","TEMP_FOR","Betula","maximowicziana","T","D","B","C3","N",NA,1.86,NA,NA,NA,NA,2.07,0.93,NA,NA,NA,NA,TRUE
883,"Koike_SAPPORO__JAPAN","TEMP_FOR","Betula","platyphylla","T","D","B","C3","N",NA,1.86,0.531,0.395,NA,NA,2.12,0.98,NA,NA,NA,NA,TRUE
884,"Koike_SAPPORO__JAPAN","TEMP_FOR","Alnus","hirsuta","T","D","B","C3","Y",0.52,1.89,0.505,0.4,NA,NA,2.16,1.05,NA,NA,NA,NA,TRUE
885,"Koike_SAPPORO__JAPAN","TEMP_FOR","Tilia","maximowicziana","T","D","B","C3","N",NA,1.91,NA,NA,NA,NA,1.94,0.85,NA,NA,NA,NA,TRUE
886,"Koike_SAPPORO__JAPAN","TEMP_FOR","Ulmus","davidiana","T","D","B","C3","N",NA,1.92,0.505,0.424,NA,NA,1.95,0.86,NA,NA,NA,NA,TRUE
887,"Koike_SAPPORO__JAPAN","TEMP_FOR","Prunus","sargentii","T","D","B","C3","N",NA,1.93,NA,NA,NA,NA,1.97,0.9,NA,NA,NA,NA,TRUE
888,"Koike_SAPPORO__JAPAN","TEMP_FOR","Sorbus","alnifolia","T","D","B","C3","N",NA,1.93,NA,NA,NA,NA,1.98,0.91,NA,NA,NA,NA,TRUE
889,"Koike_SAPPORO__JAPAN","TEMP_FOR","Magnolia","obovata","T","D","B","C3","N",0.62,1.91,NA,NA,NA,NA,2.03,0.94,NA,NA,NA,NA,TRUE
890,"Koike_SAPPORO__JAPAN","TEMP_FOR","Alnus","japonica","T","D","B","C3","Y",NA,1.91,NA,NA,NA,NA,2.1,1.01,NA,NA,NA,NA,TRUE
891,"Koike_SAPPORO__JAPAN","TEMP_FOR","Betula","ermanii","T","D","B","C3","N",0.65,1.91,NA,NA,NA,NA,2.15,1.06,NA,NA,NA,NA,TRUE
892,"Koike_SAPPORO__JAPAN","TEMP_FOR","Fagus","crenata","T","D","B","C3","N",0.73,1.98,NA,NA,NA,NA,1.76,0.74,NA,NA,NA,NA,TRUE
893,"Koike_SAPPORO__JAPAN","TEMP_FOR","Quercus","mongolica","T","D","B","C3","N",0.72,1.96,NA,NA,NA,NA,1.87,0.83,NA,NA,NA,NA,TRUE
894,"Koike_SAPPORO__JAPAN","TEMP_FOR","Ulmus","laciniata","T","D","B","C3","N",0.55,1.98,NA,NA,NA,NA,1.92,0.9,NA,NA,NA,NA,TRUE
895,"Koike_SAPPORO__JAPAN","TEMP_FOR","Betula","davurica","T","D","B","C3","N",NA,1.98,NA,NA,NA,NA,1.98,0.96,NA,NA,NA,NA,TRUE
896,"Koike_SAPPORO__JAPAN","TEMP_FOR","Salix","hultenii","T","D","B","C3","N",NA,2.01,NA,NA,NA,NA,1.85,0.86,NA,NA,NA,NA,TRUE
897,"Koike_SAPPORO__JAPAN","TEMP_FOR","Populus","maximowiczii","T","D","B","C3","N",0.56,2.01,NA,NA,NA,NA,2.1,1.11,NA,NA,NA,NA,TRUE
898,"Korner_et_al_86_Haast_Valley_NZ","TEMP_RF","Nothofagus","menziesii","T","","","","N",NA,2.18,0.127,0.305,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
899,"Korner_et_al_86_Haast_Valley_NZ","TEMP_RF","Griselinia","littoralis","T","","","","N",NA,2.03,0.02,0.05,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
900,"Korner_et_al_86_Haast_Valley_NZ","TEMP_RF","Gaultheria","antipoda","S","","","","N",NA,2.05,-0.039,0.016,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
901,"Korner_et_al_86_Haast_Valley_NZ","TEMP_RF","Ranunculus","hirtus","H","","","","N",NA,1.78,0.146,-0.075,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
902,"Kudo_Cornelissen_Abisko","TUNDRA","Achillea","millefolium","H","","B","C3","N",NA,1.69,0.359,0.052,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
903,"Kudo_Cornelissen_Abisko","TUNDRA","Alnus","incana","T","D","B","C3","Y",NA,1.86,0.507,0.366,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
904,"Kudo_Cornelissen_Abisko","TUNDRA","Andromeda","polifolia","S","E","B","C3","N",1.17,2.11,0.191,0.302,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
905,"Kudo_Cornelissen_Abisko","TUNDRA","Angelica","sylvestris","H","","B","C3","N",NA,1.48,0.473,-0.05,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
906,"Kudo_Cornelissen_Abisko","TUNDRA","Anthriscus","sylvestris","H","","B","C3","N",NA,1.37,0.375,-0.255,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
907,"Kudo_Cornelissen_Abisko","TUNDRA","Arctostaphylos","alpina","S","D","B","C3","N",0.47,1.93,0.158,0.091,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
908,"Kudo_Cornelissen_Abisko","TUNDRA","Astragalus","alpinus","H","D","B","C3","Y",NA,1.61,0.594,0.28,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
909,"Kudo_Cornelissen_Abisko","TUNDRA","Astragalus","frigidus","H","D","B","C3","Y",NA,1.67,0.704,0.378,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
910,"Kudo_Cornelissen_Abisko","TUNDRA","Bartsia","alpina","H","D","B","C3","N",NA,1.86,0.42,0.276,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
911,"Kudo_Cornelissen_Abisko","TUNDRA","Betula","nana","S","D","B","C3","N",0.48,1.91,0.35,0.258,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
912,"Kudo_Cornelissen_Abisko","TUNDRA","Betula","pubescens","T","D","B","C3","N",NA,1.84,0.441,0.279,NA,NA,2.08,0.92,NA,NA,NA,NA,TRUE
913,"Kudo_Cornelissen_Abisko","TUNDRA","Calamagrostis","lapponica","G","","B","C3","N",NA,1.59,0.245,-0.165,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
914,"Kudo_Cornelissen_Abisko","TUNDRA","Caltha","palustris","H","","B","C3","N",NA,1.38,0.553,-0.066,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
915,"Kudo_Cornelissen_Abisko","TUNDRA","Carex","capitata","G","","B","C3","N",NA,1.88,0.232,0.108,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
916,"Kudo_Cornelissen_Abisko","TUNDRA","Carex","rostrata","G","","B","C3","N",NA,1.84,0.383,0.221,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
917,"Kudo_Cornelissen_Abisko","TUNDRA","Carex","vaginata","G","","B","C3","N",NA,1.79,0.286,0.08,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
918,"Kudo_Cornelissen_Abisko","TUNDRA","Cassiope","tetragona","S","E","B","C3","N",1.52,NA,-0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
919,"Kudo_Cornelissen_Abisko","TUNDRA","Chamerion","angustifolium","H","","B","C3","N",NA,1.82,0.47,0.291,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
920,"Kudo_Cornelissen_Abisko","TUNDRA","Cornus","suecica","H","","B","C3","N",NA,1.51,0.315,-0.176,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
921,"Kudo_Cornelissen_Abisko","TUNDRA","Deschampsia","cespitosa","G","","B","C3","N",NA,1.74,0.27,0.014,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
922,"Kudo_Cornelissen_Abisko","TUNDRA","Diphasiastrum","complanatum","F","E","B","C3","N",NA,NA,-0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
923,"Kudo_Cornelissen_Abisko","TUNDRA","Drosera","rotundifolia","H","","B","C3","N",NA,1.4,0.079,-0.52,NA,NA,1.66,0.06,NA,NA,NA,NA,TRUE
924,"Kudo_Cornelissen_Abisko","TUNDRA","Dryas","octopetala","S","E","B","C3","N",0.44,1.97,0.306,0.28,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
925,"Kudo_Cornelissen_Abisko","TUNDRA","Elytrigia","repens","G","","B","C3","N",NA,1.62,0.388,0.005,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
926,"Kudo_Cornelissen_Abisko","TUNDRA","Empetrum","hermaphroditum","S","E","B","","N",1.61,2.25,-0.108,0.14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
927,"Kudo_Cornelissen_Abisko","TUNDRA","Empetrum","nigrum","S","E","B","C3","N",1.61,1.94,0.078,0.019,NA,NA,1.6,0.54,NA,NA,NA,NA,TRUE
928,"Kudo_Cornelissen_Abisko","TUNDRA","Equisetum","sylvaticum","F","","B","C3","N",NA,1.61,0.363,-0.025,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
929,"Kudo_Cornelissen_Abisko","TUNDRA","Eriophorum","angustifolium","G","","B","C3","N",NA,1.88,0.409,0.293,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
930,"Kudo_Cornelissen_Abisko","TUNDRA","Euphrasia","frigida","H","","B","C3","N",NA,1.49,0.73,0.217,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
931,"Kudo_Cornelissen_Abisko","TUNDRA","Filipendula","ulmaria","H","","B","C3","N",NA,1.55,0.444,-0.009,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
932,"Kudo_Cornelissen_Abisko","TUNDRA","Geranium","sylvaticum","H","","B","C3","N",NA,1.66,0.435,0.099,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
933,"Kudo_Cornelissen_Abisko","TUNDRA","Gymnocarpium","dryopteris","H","","B","C3","N",NA,1.45,0.217,-0.333,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
934,"Kudo_Cornelissen_Abisko","TUNDRA","Juncus","arcticus","G","","B","C3","N",NA,2.36,0.349,0.705,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
935,"Kudo_Cornelissen_Abisko","TUNDRA","Juniperus","communis","S","E","N","C3","N",NA,2.22,0.059,0.281,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
